time,open,high,low,close,tbq_open,tbq_close,tsq_open,tsq_close,n_ticks,bar_volume
2026-08-07 09:00:00,10000,10010,9990,10005,10000,10000,9000,9000,10,1000
2026-08-07 09:30:00,10005,10050,10000,10040,10000,13000,9000,8000,10,2000
2026-08-07 10:00:00,10040,10070,10030,10066,13000,14000,8000,7000,10,2200
2026-08-07 10:30:00,10066,10070,10050,10050,14000,12000,7000,9000,10,900
2026-08-07 11:00:00,10050,10055,10020,10030,12000,11000,9000,10000,10,800
2026-08-07 11:30:00,10030,10080,10025,10070,11000,14500,10000,8500,10,500
2026-08-07 12:00:00,10070,10075,10040,10045,14500,13000,8500,10000,10,600
2026-08-07 12:30:00,10045,10050,10010,10020,13000,10000,10000,13000,10,700
2026-08-07 13:00:00,10020,10025,9990,10000,10000,9000,13000,14000,10,750
2026-08-07 13:30:00,10000,10060,9995,10050,9000,12500,14000,11000,10,1800
2026-08-07 14:00:00,10050,10090,10040,10080,12500,15000,11000,9500,10,2100
2026-08-07 14:30:00,10080,10085,10055,10060,15000,14000,9500,11000,10,1000
